iter	Passed	Remaining
400	16234	24250
401	16271	24205
402	16302	24150
403	16346	24115
404	16394	24086
405	16437	24049
406	16483	24017
407	16523	23974
408	16561	23930
409	16600	23888
410	16632	23836
411	16670	23791
412	16711	23752
413	16759	23722
414	16804	23687
415	16840	23641
416	16881	23602
417	16922	23562
418	16983	23549
419	17029	23517
420	17076	23485
421	17110	23435
422	17145	23387
423	17184	23344
424	17222	23300
425	17258	23253
426	17295	23209
427	17333	23165
428	17376	23128
429	17414	23084
430	17456	23045
431	17495	23002
432	17537	22964
433	17581	22928
434	17622	22889
435	17658	22842
436	17698	22801
437	17738	22759
438	17778	22719
439	17813	22671
440	17848	22624
441	17880	22573
442	17923	22535
443	17963	22495
444	18002	22452
445	18038	22406
446	18081	22368
447	18116	22322
448	18171	22299
449	18219	22267
450	18263	22231
451	18305	22193
452	18355	22164
453	18396	22125
454	18434	22081
455	18476	22042
456	18518	22003
457	18562	21967
458	18604	21928
459	18646	21889
460	18680	21841
461	18711	21789
462	18748	21744
463	18801	21718
464	18846	21683
465	18888	21645
466	18921	21595
467	18974	21569
468	19017	21531
469	19065	21499
470	19102	21454
471	19135	21405
472	19179	21369
473	19223	21332
474	19261	21288
475	19305	21251
476	19364	21231
477	19404	21190
478	19446	21151
479	19494	21119
480	19533	21076
481	19584	21047
482	19631	21013
483	19675	20976
484	19727	20948
485	19774	20914
486	19825	20883
487	19871	20848
488	19917	20813
489	19976	20792
490	20029	20764
491	20075	20728
492	20118	20689
493	20159	20649
494	20194	20602
495	20237	20564
496	20285	20530
497	20329	20492
498	20373	20455
499	20413	20413
500	20459	20377
501	20504	20341
502	20540	20295
503	20579	20253
504	20620	20212
505	20657	20167
506	20694	20123
507	20735	20082
508	20765	20031
509	20807	19991
510	20845	19947
511	20884	19905
512	20923	19863
513	20969	19826
514	21009	19785
515	21047	19742
516	21094	19707
517	21132	19663
518	21173	19622
519	21212	19580
520	21258	19545
521	21304	19508
522	21344	19467
523	21395	19435
524	21441	19399
525	21480	19356
526	21517	19312
527	21560	19274
528	21602	19233
529	21637	19188
530	21679	19147
531	21716	19103
532	21762	19067
533	21805	19028
534	21843	18985
535	21885	18946
536	21925	18904
537	21970	18867
538	22017	18831
539	22061	18793
540	22097	18747
541	22146	18714
542	22183	18670
543	22222	18627
544	22265	18588
545	22309	18550
546	22347	18507
547	22391	18469
548	22428	18424
549	22469	18384
550	22508	18341
551	22550	18301
552	22596	18264
553	22640	18227
554	22677	18182
555	22715	18139
556	22754	18097
557	22795	18056
558	22845	18022
559	22889	17984
560	22941	17952
561	22978	17908
562	23011	17861
563	23046	17816
564	23084	17772
565	23125	17732
566	23162	17688
567	23202	17647
568	23245	17607
569	23288	17568
570	23331	17529
571	23381	17495
572	23420	17453
573	23452	17405
574	23490	17362
575	23528	17319
576	23567	17277
577	23597	17228
578	23646	17193
579	23680	17148
580	23723	17108
581	23760	17065
582	23803	17025
583	23840	16982
584	23876	16938
585	23904	16888
586	23946	16847
587	23986	16806
588	24024	16763
589	24061	16720
590	24098	16677
591	24136	16634
592	24173	16591
593	24217	16552
594	24255	16509
595	24294	16468
596	24341	16431
597	24387	16394
598	24425	16351
599	24475	16316
600	24528	16284
601	24579	16250
602	24618	16207
603	24659	16167
604	24706	16130
605	24745	16088
606	24779	16043
607	24823	16004
608	24863	15963
609	24905	15923
610	24950	15884
611	24988	15842
612	25029	15801
613	25070	15760
614	25112	15720
615	25145	15675
616	25189	15635
617	25225	15592
618	25268	15552
619	25316	15516
620	25350	15471
621	25393	15431
622	25433	15390
623	25471	15347
624	25509	15305
625	25549	15264
626	25589	15223
627	25626	15179
628	25664	15137
629	25721	15106
630	25766	15067
631	25814	15031
632	25855	14990
633	25894	14948
634	25941	14911
635	25971	14864
636	26002	14818
637	26035	14772
638	26080	14733
639	26115	14690
640	26157	14649
641	26193	14606
642	26230	14563
643	26271	14522
644	26314	14483
645	26358	14443
646	26392	14399
647	26432	14358
648	26473	14317
649	26513	14276
650	26551	14234
651	26593	14193
652	26626	14149
653	26662	14106
654	26719	14073
655	26757	14031
656	26788	13985
657	26837	13948
658	26883	13910
659	26959	13888
660	27000	13847
661	27039	13805
662	27078	13763
663	27122	13724
664	27162	13683
665	27213	13647
666	27265	13612
667	27312	13574
668	27348	13531
669	27378	13485
670	27416	13442
671	27450	13398
672	27490	13357
673	27526	13314
674	27565	13272
675	27622	13238
676	27665	13199
677	27719	13164
678	27758	13123
679	27796	13080
680	27823	13033
681	27864	12992
682	27912	12954
683	27957	12915
684	28011	12881
685	28052	12840
686	28094	12799
687	28135	12759
688	28170	12715
689	28214	12676
690	28259	12637
691	28301	12596
692	28349	12558
693	28396	12520
694	28439	12480
695	28471	12435
696	28514	12395
697	28550	12352
698	28583	12308
699	28618	12265
700	28662	12225
701	28698	12182
702	28735	12140
703	28772	12097
704	28803	12052
705	28844	12011
706	28882	11969
707	28933	11933
708	28965	11888
709	28995	11843
710	29034	11801
711	29069	11758
712	29101	11714
713	29136	11670
714	29176	11629
715	29217	11588
716	29261	11549
717	29296	11506
718	29331	11463
719	29375	11423
720	29417	11383
721	29456	11342
722	29494	11300
723	29528	11256
724	29565	11214
725	29608	11174
726	29641	11130
727	29673	11086
728	29711	11044
729	29739	10999
730	29773	10956
731	29802	10911
732	29838	10868
733	29872	10825
734	29910	10784
735	29945	10741
736	29984	10700
737	30022	10658
738	30060	10616
739	30098	10575
740	30141	10535
741	30178	10493
742	30219	10452
743	30250	10408
744	30292	10368
745	30325	10325
746	30374	10287
747	30416	10247
748	30449	10203
749	30487	10162
750	30534	10123
751	30567	10080
752	30605	10039
753	30644	9997
754	30675	9954
755	30713	9912
756	30770	9877
757	30806	9835
758	30840	9792
759	30878	9751
760	30925	9712
761	30959	9669
762	31002	9629
763	31034	9586
764	31074	9545
765	31118	9506
766	31148	9462
767	31185	9420
768	31219	9378
769	31253	9335
770	31302	9297
771	31341	9256
772	31384	9216
773	31431	9177
774	31469	9136
775	31510	9095
776	31551	9055
777	31599	9016
778	31629	8973
779	31666	8931
780	31705	8890
781	31747	8850
782	31780	8807
783	31813	8764
784	31849	8723
785	31888	8682
786	31919	8639
787	31961	8598
788	32002	8558
789	32036	8516
790	32077	8475
791	32120	8435
792	32161	8395
793	32192	8352
794	32227	8310
795	32260	8267
796	32297	8226
797	32337	8185
798	32388	8147
799	32430	8107
800	32477	8068
801	32514	8027
802	32553	7986
803	32594	7945
804	32636	7905
805	32676	7864
806	32719	7825
807	32782	7789
808	32833	7751
809	32898	7716
810	32946	7678
811	32998	7639
812	33045	7600
813	33085	7560
814	33118	7517
815	33157	7476
816	33191	7434
817	33231	7393
818	33270	7352
819	33311	7312
820	33350	7271
821	33383	7229
822	33430	7189
823	33474	7149
824	33512	7108
825	33554	7068
826	33590	7026
827	33626	6985
828	33670	6945
829	33717	6905
830	33759	6865
831	33796	6824
832	33838	6783
833	33876	6742
834	33915	6701
835	33949	6659
836	33992	6619
837	34034	6579
838	34083	6540
839	34124	6499
840	34164	6459
841	34205	6418
842	34251	6379
843	34290	6337
844	34329	6297
845	34365	6255
846	34407	6215
847	34450	6175
848	34497	6135
849	34534	6094
850	34575	6053
851	34622	6014
852	34662	5973
853	34704	5933
854	34745	5892
855	34786	5851
856	34827	5811
857	34883	5773
858	34931	5733
859	34971	5693
860	35005	5651
861	35049	5611
862	35088	5570
863	35134	5530
864	35166	5488
865	35204	5447
866	35246	5406
867	35289	5366
868	35322	5324
869	35360	5283
870	35393	5241
871	35429	5200
872	35464	5159
873	35499	5117
874	35534	5076
875	35569	5034
876	35613	4994
877	35655	4954
878	35701	4914
879	35735	4873
880	35775	4832
881	35822	4792
882	35860	4751
883	35902	4711
884	35940	4670
885	35980	4629
886	36020	4588
887	36062	4548
888	36103	4507
889	36142	4466
890	36185	4426
891	36220	4385
892	36266	4345
893	36312	4305
894	36353	4264
895	36401	4225
896	36434	4183
897	36474	4142
898	36508	4101
899	36546	4060
900	36588	4020
901	36629	3979
902	36666	3938
903	36706	3897
904	36743	3857
905	36785	3816
906	36817	3775
907	36875	3736
908	36931	3697
909	36986	3658
910	37031	3617
911	37077	3577
912	37121	3537
913	37165	3496
914	37198	3455
915	37242	3415
916	37280	3374
917	37312	3332
918	37353	3292
919	37394	3251
920	37436	3211
921	37483	3171
922	37530	3130
923	37570	3090
924	37622	3050
925	37669	3010
926	37710	2969
927	37752	2929
928	37799	2888
929	37843	2848
930	37891	2808
931	37940	2768
932	37990	2728
933	38040	2688
934	38084	2647
935	38127	2607
936	38164	2566
937	38204	2525
938	38243	2484
939	38282	2443
940	38324	2402
941	38362	2361
942	38400	2321
943	38443	2280
944	38484	2239
945	38527	2199
946	38568	2158
947	38600	2117
948	38645	2076
949	38688	2036
950	38729	1995
951	38771	1954
952	38819	1914
953	38854	1873
954	38889	1832
955	38929	1791
956	38968	1750
957	39013	1710
958	39055	1669
959	39088	1628
960	39129	1588
961	39168	1547
962	39201	1506
963	39242	1465
964	39276	1424
965	39314	1383
966	39347	1342
967	39394	1302
968	39436	1261
969	39477	1220
970	39523	1180
971	39569	1139
972	39608	1099
973	39653	1058
974	39693	1017
975	39745	977
976	39782	936
977	39843	896
978	39905	856
979	39945	815
980	39960	773
981	39980	732
982	40019	692
983	40049	651
984	40073	610
985	40089	569
986	40102	528
987	40124	487
988	40153	446
989	40168	405
990	40192	365
991	40209	324
992	40224	283
993	40240	242
994	40253	202
995	40269	161
996	40283	121
997	40300	80
998	40313	40
999	40326	0
957	0
