iter	RMSE
209	418.4443327
210	418.0677171
211	417.4125426
212	417.020381
213	416.5431194
214	416.2073685
215	415.8394183
216	415.2432536
217	414.8621737
218	414.5963448
219	414.2431953
220	413.6412404
221	413.286722
222	412.9008494
223	412.5063691
224	411.5513479
225	410.823276
226	410.5081454
227	410.138466
228	409.7915698
229	409.3860522
230	408.9614914
231	408.6766355
232	408.4317422
233	408.0343003
234	407.5981299
235	407.1640714
236	406.8747075
237	406.406569
238	405.854152
239	405.1289418
240	404.6822158
241	404.3562485
242	403.970969
243	403.6157263
244	403.2906907
245	403.0634995
246	402.8831792
247	402.5458829
248	402.0980314
249	401.8000455
250	401.5668918
251	401.287641
252	400.6231368
253	400.2630047
254	399.9417092
255	399.585017
256	399.036982
257	398.6107191
258	398.3998637
259	397.917841
260	397.6752604
261	397.2552755
262	396.9682005
263	396.6456584
264	396.0642605
265	395.8345262
266	395.4962171
267	395.1313059
268	394.8128066
269	394.6372164
270	394.3853865
271	394.2487702
272	393.9576908
273	393.6366793
274	393.2282439
275	392.9998576
276	392.7118408
277	392.255045
278	391.9075089
279	391.490526
280	391.1390777
281	390.7771714
282	390.3139127
283	390.0277782
284	389.531658
285	389.2602765
286	389.0167745
287	388.617672
288	388.3641016
289	388.0236285
290	387.7930405
291	387.4509149
292	387.1905822
293	386.7459614
294	386.5556541
295	386.2766849
296	385.9776861
297	385.7379649
298	385.3162376
299	385.0765502
300	384.7920664
301	384.643679
302	384.2266181
303	384.1023545
304	383.8805001
305	383.5903158
306	383.3541678
307	383.0943416
308	382.7058398
309	382.4456901
310	382.1026156
311	381.7559216
312	381.4599002
313	381.2769148
314	381.0546648
315	380.6197661
316	380.3167628
317	380.1243629
318	379.9426572
319	379.7255512
320	379.2870942
321	378.7770302
322	378.4843089
323	378.0555903
324	377.7546389
325	377.5524205
326	377.1990502
327	376.9269803
328	376.5657222
329	376.3598295
330	376.1475179
331	375.8735186
332	375.6585924
333	375.4571843
334	375.1098518
335	374.7918289
336	374.5460949
337	374.31596
338	374.0675999
339	373.6245758
340	373.2945473
341	373.1023945
342	372.8652822
343	372.5333618
344	372.201888
345	371.7918704
346	371.6313584
347	371.5409449
348	371.253962
349	371.0691371
350	370.7410669
351	370.4533589
352	370.2143771
353	369.8422959
354	369.3914487
355	369.167133
356	368.9867418
357	368.6802982
358	368.5241945
359	368.3078649
360	368.0935563
361	367.8842566
362	367.6577912
363	367.3671501
364	367.2070849
365	366.9710737
366	366.7581787
367	366.4854559
368	366.2768223
369	366.0753703
370	365.8973349
371	365.6293189
372	365.4215955
373	365.1623281
374	364.9825013
375	364.8176708
376	364.5958982
377	364.4060096
378	364.2272886
379	363.9411587
380	363.7372014
381	363.6527103
382	363.4645233
383	363.1658074
384	362.9951533
385	362.7550675
386	362.4936019
387	362.3830901
388	362.1579757
389	361.9148445
390	361.5829029
391	361.3615958
392	361.1065285
393	361.0055168
394	360.7526242
395	360.5402077
396	360.2574248
397	360.0682828
398	359.9433235
399	359.7467697
400	359.6320621
401	359.2719061
402	359.0166022
403	358.8150751
404	358.4766495
405	358.2962764
406	358.1125394
407	357.9661665
408	357.6905886
409	357.4902811
410	357.216539
411	356.9933579
412	356.8335489
413	356.4585903
414	356.2088584
415	356.0199636
416	355.7979631
417	355.5371769
418	355.3632664
419	355.2386681
420	354.9788543
421	354.7708825
422	354.4876338
423	354.2367777
424	354.054327
425	353.9390941
426	353.6036886
427	353.4461172
428	353.1596166
429	353.0039304
430	352.8005075
431	352.6678772
432	352.5131157
433	352.2862518
434	352.1114448
435	351.7814635
436	351.617128
437	351.4598008
438	351.311335
439	351.0456959
440	350.7982109
441	350.6335937
442	350.3843028
443	350.1790742
444	349.9913456
445	349.859889
446	349.6412449
447	349.3565393
448	349.1728058
449	348.9360006
450	348.6029943
451	348.4657222
452	348.147864
453	347.9963516
454	347.7711626
455	347.5472502
456	347.3144519
457	347.1415881
458	347.0031538
459	346.8686072
460	346.6569039
461	346.4749246
462	346.3372537
463	346.208403
464	346.0759308
465	345.8903621
466	345.806203
467	345.6524918
468	345.4816292
469	345.3372238
470	345.1889797
471	345.0118504
472	344.7349134
473	344.5379062
474	344.1122306
475	343.8930729
476	343.7532237
477	343.5403216
478	343.3898006
479	343.1749606
480	343.0525571
481	342.8707967
482	342.6762686
483	342.5268168
484	342.381762
485	342.1738803
486	342.0352992
487	341.8598589
488	341.7160533
489	341.5973145
490	341.4419278
491	341.1224361
492	340.9383824
493	340.7927737
494	340.6314321
495	340.4167064
496	340.2181715
497	339.9855874
498	339.824535
499	339.6429518
500	339.5178695
501	339.3806088
502	339.2565694
503	339.0078426
504	338.8409309
505	338.678256
506	338.5116418
507	338.3782967
508	338.224303
509	338.1195211
510	338.0180209
511	337.8727746
512	337.7691376
513	337.5981764
514	337.4415896
515	337.2459579
516	337.1194431
517	336.9967833
518	336.8018814
519	336.5922114
520	336.4660463
521	336.1972264
522	335.8178925
523	335.701379
524	335.4675484
525	335.3139833
526	335.2013664
527	335.0875308
528	334.9773714
529	334.8177753
530	334.6871247
531	334.6002748
532	334.5207821
533	334.257815
534	334.1705284
535	333.8652523
536	333.6247485
537	333.4927593
538	333.3607473
539	333.1808749
540	332.9804631
541	332.8362004
542	332.7059041
543	332.6074594
544	332.5013388
545	332.3111038
546	332.1963195
547	332.1047478
548	332.0342121
549	331.8571523
550	331.7591058
551	331.5922821
552	331.4244192
553	331.2219664
554	330.9875276
555	330.8308012
556	330.7074814
557	330.5064607
558	330.3319751
559	330.2286869
560	330.1162298
561	329.9396221
562	329.886089
563	329.7231115
564	329.5184995
565	329.2536451
566	329.0525073
567	328.8816413
568	328.766435
569	328.591966
570	328.4346294
571	328.3116997
572	328.1837351
573	327.8968052
574	327.7473419
575	327.6234371
576	327.4933448
577	327.3025618
578	327.1667728
579	327.0676602
580	326.8927026
581	326.7530878
582	326.5344542
583	326.4248528
584	326.2941133
585	326.1321931
586	325.9640543
587	325.7834092
588	325.6642552
589	325.5390022
590	325.4137109
591	325.1661928
592	325.0483463
593	324.8260507
594	324.6249729
595	324.477995
596	324.3594983
597	324.1835171
598	324.0270074
599	323.8474594
600	323.6875435
601	323.5622575
602	323.448381
603	323.3374485
604	323.1416895
605	323.0280088
606	322.8053778
607	322.7080119
608	322.5999713
609	322.4121807
610	322.252149
611	322.1137389
612	321.873599
613	321.77193
614	321.6477287
615	321.5153034
616	321.2723442
617	321.1760801
618	321.041932
619	320.9357118
620	320.8354675
621	320.7205457
622	320.5739056
623	320.4285228
624	320.2799925
625	320.1759949
626	320.0815945
627	319.9514513
628	319.9025717
629	319.7655511
630	319.5846933
631	319.4849205
632	319.3628657
633	319.2138896
634	319.0984148
635	318.9840655
636	318.8614192
637	318.7100352
638	318.5591565
639	318.4078765
640	318.2894921
641	318.1334091
642	318.0214527
643	317.9174042
644	317.8208369
645	317.6636628
646	317.5556616
647	317.3688231
648	317.2982796
649	317.2085239
650	317.1316088
651	317.0442876
652	316.9594095
653	316.845672
654	316.7231548
655	316.6226418
656	316.4833799
657	316.3571176
658	316.1875395
659	316.0810623
660	316.0020346
661	315.8788939
662	315.7425056
663	315.6129185
664	315.4995174
665	315.3944739
666	315.259462
667	315.1242189
668	315.007515
669	314.9064728
670	314.8312715
671	314.7572442
672	314.5079666
673	314.3715033
674	314.2377004
675	314.1192621
676	314.0005086
677	313.8807545
678	313.7749975
679	313.68651
680	313.5625352
681	313.4841976
682	313.3998535
683	313.2453382
684	313.1603533
685	313.0094898
686	312.9320731
687	312.8362516
688	312.6829619
689	312.5869702
690	312.5090559
691	312.4089794
692	312.2661924
693	312.0922879
694	311.9636861
695	311.8510415
696	311.7595376
697	311.608022
698	311.5069948
699	311.431036
700	311.3240202
701	311.2105814
702	311.1234774
703	310.991511
704	310.9159975
705	310.8569794
706	310.7572781
707	310.6341847
708	310.5275801
709	310.3918853
710	310.2477773
711	310.1599383
712	310.0502987
713	309.9483944
714	309.8243796
715	309.7048418
716	309.5432886
717	309.4626414
718	309.3351416
719	309.2415418
720	309.147521
721	309.0497935
722	308.9360047
723	308.8607657
724	308.7886357
725	308.6811006
726	308.5183505
727	308.4124475
728	308.3311834
729	308.2392728
730	308.1364272
731	308.0306151
732	307.9051213
733	307.6989909
734	307.6398441
735	307.598967
736	307.5162523
737	307.4292576
738	307.357442
739	307.2744245
740	307.1940464
741	307.0584152
742	306.9732968
743	306.805934
744	306.6242196
745	306.5083428
746	306.4360927
747	306.3521823
748	306.2130456
749	306.1484291
750	306.0522082
751	305.9740178
752	305.8440107
753	305.7857003
754	305.7080241
755	305.6349438
756	305.5461226
757	305.3476134
758	305.237894
759	305.1356343
760	305.0245182
761	304.8912265
762	304.7884778
763	304.6305329
764	304.54791
765	304.4571459
766	304.3266171
767	304.1778169
768	304.0640647
769	303.9478136
770	303.8607659
771	303.7142162
772	303.606744
773	303.5404201
774	303.4818307
775	303.350254
776	303.2037489
777	303.0875476
778	303.0116786
779	302.9046018
780	302.7711873
781	302.7025416
782	302.611979
783	302.55014
784	302.4706577
785	302.3525474
786	302.1749627
787	302.0831552
788	302.0103456
789	301.8533393
790	301.797513
791	301.7062169
792	301.5670453
793	301.5079324
794	301.4203811
795	301.334497
796	301.2679017
797	301.1406281
798	301.0498265
799	300.9077103
800	300.7879851
801	300.7507955
802	300.6476072
803	300.5469414
804	300.4697902
805	300.416193
806	300.2898669
807	300.1397549
808	300.0547125
809	299.9867281
810	299.9037672
811	299.7720671
812	299.6665011
813	299.5637803
814	299.5023363
815	299.4338892
816	299.3585922
817	299.3062368
818	299.1880293
819	299.0951833
820	298.8874422
821	298.8300246
822	298.7660909
823	298.7004278
824	298.588345
825	298.5198876
826	298.3978946
827	298.3321216
828	298.2170696
829	298.1049652
830	297.9812228
831	297.8370896
832	297.8094107
833	297.7509596
834	297.6339081
835	297.5835607
836	297.4799671
837	297.369418
838	297.2865767
839	297.1466864
840	297.1001507
841	296.9991421
842	296.881026
843	296.8357368
844	296.7340313
845	296.6342419
846	296.5864546
847	296.4773881
848	296.4065673
849	296.3244033
850	296.2291016
851	296.0980914
852	296.0470619
853	295.9838196
854	295.9128381
855	295.8064418
856	295.7150777
857	295.6089284
858	295.5535537
859	295.4678178
860	295.344744
861	295.2936116
862	295.2396891
863	295.0950048
864	295.0168532
865	294.9272937
866	294.8891362
867	294.7100369
868	294.6294089
869	294.550835
870	294.4863799
871	294.3617865
872	294.3004404
873	294.2271505
874	294.091882
875	294.001327
876	293.9349667
877	293.8515829
878	293.7346288
879	293.6833254
880	293.6067825
881	293.51767
882	293.3531182
883	293.2531798
884	293.1141061
885	293.0405583
886	292.9682174
887	292.874029
888	292.8141857
889	292.6955902
890	292.6080586
891	292.4895393
892	292.3488556
893	292.2793964
894	292.174013
895	292.0713532
896	291.9972436
897	291.9145653
898	291.843997
899	291.7437848
900	291.6941124
901	291.5883197
902	291.5217186
903	291.4263229
904	291.3340282
905	291.2258108
906	291.1220402
907	290.9633306
908	290.8968834
909	290.8221076
910	290.7418861
911	290.6194201
912	290.5565079
913	290.4698654
914	290.3769652
915	290.2930138
916	290.1942247
917	290.0969709
918	290.0596564
919	289.8899919
920	289.818777
921	289.68508
922	289.616014
923	289.5481232
924	289.4222239
925	289.3731696
926	289.2667639
927	289.1981307
928	289.1071919
929	288.9595132
930	288.8635628
931	288.8130417
932	288.744521
933	288.6706444
934	288.5277448
935	288.437422
936	288.367127
937	288.3028726
938	288.2164918
939	288.1599075
940	288.082004
941	287.9657857
942	287.9058197
943	287.7629444
944	287.6382382
945	287.551217
946	287.4482359
947	287.3378135
948	287.2871395
949	287.2372056
950	287.112643
951	287.0251902
952	286.9001278
953	286.8191838
954	286.7622855
955	286.6473281
956	286.5905897
957	286.5257393
958	286.4516056
959	286.3864759
960	286.3317746
961	286.2643644
962	286.173855
963	286.0854565
964	285.9719907
965	285.9007445
966	285.8388999
967	285.782353
968	285.7121109
969	285.6537678
970	285.5676385
971	285.4858717
972	285.4171927
973	285.3497247
974	285.1951592
975	285.1061508
976	285.0013356
977	284.9105451
978	284.8132357
979	284.7614855
980	284.6871199
981	284.5407038
982	284.3631785
983	284.1885502
984	284.1250986
985	284.043108
986	283.9722159
987	283.8806381
988	283.8126445
989	283.7507077
990	283.6839227
991	283.6344431
992	283.5032118
993	283.4636484
994	283.3644981
995	283.3079967
996	283.2194045
997	283.1437282
998	283.0696921
999	282.9994318
59463
31435
999	283.8301429
